S.No,Date,"Index Value PR","Market CAP PR","Divisor PR","Index Value TR","Market CAP TR","Divisor TR","Index Value NTR","Market CAP NTR","Divisor NTR",ISIN,Currency,Country,TAX,"Share PR","Share TR","Share NTR","Local Price","USD PRICE","MCAP PR","MCAP TR","MCAP NTR","Currency Price","Price Date","Weight PR","Weight TR","Weight NTR",Dividend,"Special Dividend",Split,Spin
2,2020-06-10,0,0,,0,0,,0,0,,KYG4740B1059,USD,"United States","30%       ",0,0,0,25.1,25.1,0,0,0,1,2020-06-10,,,,,,,
2,2020-06-10,0,0,,0,0,,0,0,,US55933J2033,USD,"United States","30%       ",0,0,0,12.29,12.29,0,0,0,1,2020-06-10,,,,,,,
2,2020-06-10,0,0,,0,0,,0,0,,US23332B1061,USD,"United States","30%       ",0,0,0,18.03,18.03,0,0,0,1,2020-06-10,,,,,,,
2,2020-06-10,0,0,,0,0,,0,0,,BMG6331P1041,USD,"United States","30%       ",0,0,0,12.425,12.425,0,0,0,1,2020-06-10,,,,,,,
2,2020-06-11,0,0,,0,0,,0,0,,KYG4740B1059,USD,"United States","30%       ",0,0,0,22.11,22.11,0,0,0,1,2020-06-11,,,,,,,
2,2020-06-11,0,0,,0,0,,0,0,,US55933J2033,USD,"United States","30%       ",0,0,0,11.41,11.41,0,0,0,1,2020-06-11,,,,,,,
2,2020-06-11,0,0,,0,0,,0,0,,US23332B1061,USD,"United States","30%       ",0,0,0,17.11,17.11,0,0,0,1,2020-06-11,,,,,,,
2,2020-06-11,0,0,,0,0,,0,0,,BMG6331P1041,USD,"United States","30%       ",0,0,0,10.95,10.95,0,0,0,1,2020-06-11,,,,,,,
