S.No,Date,Index Value PR,Market CAP PR,Divisor PR,Index Value TR,Market CAP TR,Divisor TR,Index Value NTR,Market CAP NTR,Divisor NTR,ISIN,Currency,Country,TAX,Share PR,Share TR,Share NTR,Local Price,Index PRICE,MCAP PR,MCAP TR,MCAP NTR,Currency Price,Price Date,Weight PR,Weight TR,Weight NTR,Dividend,Special Dividend,Split,Spin
1,01/14/20,1000,100000,100.0,1000,100000,100.0,1000,100000,100.0,KR7000810002,KRW,South Korea,22.0,50.26521739130435,50.26521739130435,50.26521739130435,230000.0,198.94472796470896,10000.0,10000.0,10000.0,0.0008649770781074302,01/14/20,10.0,10.0,10.0,,,,
1,01/14/20,1000,100000,100.0,1000,100000,100.0,1000,100000,100.0,CNE0000018Q0,CNY,China,10.0,42882.35294117647,42882.35294117647,42882.35294117647,14.45,2.0987654320987654,89999.99999999999,89999.99999999999,89999.99999999999,0.14524328249818447,01/14/20,90.0,90.0,90.0,,,,
