S.No,Date,Index Value PR,Market CAP PR,Divisor PR,Index Value TR,Market CAP TR,Divisor TR,Index Value NTR,Market CAP NTR,Divisor NTR,ISIN,Currency,Country,TAX,Share PR,Share TR,Share NTR,Local Price,Index PRICE,MCAP PR,MCAP TR,MCAP NTR,Currency Price,Price Date,Weight PR,Weight TR,Weight NTR,Dividend,Special Dividend,Split,Spin
1,07/24/20,1000,100000,100.0,1000,100000,100.0,1000,100000,100.0,KR7000810002,KRW,South Korea,22.0,67.87853107344634,67.87853107344634,67.87853107344634,177000.0,147.32198593366348,10000.0,10000.0,10000.0,0.0008323276041449914,07/24/20,10.0,10.0,10.0,,,,
1,07/24/20,1000,100000,100.0,1000,100000,100.0,1000,100000,100.0,IT0001233417,EUR,Italy,26.0,61839.201277955275,61839.201277955275,61839.201277955275,1.252,1.4553874911072568,90000.0,90000.0,90000.0,1.1624500727693745,07/24/20,90.0,90.0,90.0,,,,
