S.No,Date,Index Value PR,Market CAP PR,Divisor PR,Index Value TR,Market CAP TR,Divisor TR,Index Value NTR,Market CAP NTR,Divisor NTR,ISIN,Currency,Country,TAX,Share PR,Share TR,Share NTR,Local Price,Index PRICE,MCAP PR,MCAP TR,MCAP NTR,Currency Price,Price Date,Weight PR,Weight TR,Weight NTR,Dividend,Special Dividend,Split,Spin
1,07/24/20,1000,100000,100.0,1000,100000,100.0,1000,100000,100.0,KR7000810002,KRW,South Korea,22.0,78.90540338580594,78.90540338580594,78.90540338580594,177000.0,126.73403304340587,10000.0,10000.0,10000.0,0.0007160114861209371,07/24/20,10.0,10.0,10.0,,,,
1,07/24/20,1000,100000,100.0,1000,100000,100.0,1000,100000,100.0,IT0001233417,EUR,Italy,26.0,71884.9840255591,71884.9840255591,71884.9840255591,1.252,1.252,89999.99999999999,89999.99999999999,89999.99999999999,1.0,07/24/20,90.0,90.0,90.0,,,,
