S.No,Date,Index Value PR,Market CAP PR,Divisor PR,Index Value TR,Market CAP TR,Divisor TR,Index Value NTR,Market CAP NTR,Divisor NTR,ISIN,Currency,Country,TAX,Share PR,Share TR,Share NTR,Local Price,Index PRICE,MCAP PR,MCAP TR,MCAP NTR,Currency Price,Price Date,Weight PR,Weight TR,Weight NTR,Dividend,Special Dividend,Split,Spin
1,07/27/20,1000,100000,100.0,1000,100000,100.0,1000,100000,100.0,KR7000810002,KRW,South Korea,22.0,79.5945725817032,79.5945725817032,79.5945725817032,177000.0,125.63670707239591,10000.0,10000.0,10000.0,0.0007098119043638187,07/27/20,10.0,10.0,10.0,,,,
1,07/27/20,1000,100000,100.0,1000,100000,100.0,1000,100000,100.0,IT0001233417,EUR,Italy,26.0,73649.75450081832,73649.75450081832,73649.75450081832,1.222,1.222,89999.99999999999,89999.99999999999,89999.99999999999,1.0,07/27/20,90.0,90.0,90.0,,,,
